"Bank","Code","Country","Tag","Currency"
"JAIZ BANK","301","Nigeria","jaiz","NGN"
"Parkway","311","Nigeria","parkway","NGN"
"PAYCOM","305","Nigeria","paycom","NGN"
"SKYE BANK PLC","076","Nigeria","skyebank","NGN"
"STANBIC IBTC BANK PLC","221","Nigeria","stanbic","NGN"
"Stanbic Mobile","304","Nigeria","stanbic-mobile","NGN"
"STANDARD CHARTERED BANK NIGERIA LIMITED","068","Nigeria","standard-chartered","NGN"
"STERLING BANK PLC","232","Nigeria","sterling","NGN"
"UNION BANK OF NIGERIA PLC","032","Nigeria","unionbank","NGN"
"UNITED BANK FOR AFRICA PLC","033","Nigeria","uba","NGN"
"UNITY BANK PLC","215","Nigeria","unity","NGN"
"WEMA BANK PLC","035","Nigeria","wema","NGN"
"ZENITH BANK PLC","057","Nigeria","zenith","NGN"
"ZENITH Mobile","322","Nigeria","zenith-mobile","NGN"
"KEYSTONE BANK PLC","082","Nigeria","keystone","NGN"
"HERITAGE BANK","030","Nigeria","heritage","NGN"
"ACCESS BANK NIGERIA","044","Nigeria","access","NGN"
"ACCESS MOBILE","323","Nigeria","access-mobile","NGN"
"AFRIBANK NIGERIA PLC","014","Nigeria","afribank","NGN"
"Aso Savings and Loans","401","Nigeria","aso-savings","NGN"
"DIAMOND BANK PLC","063","Nigeria","diamond","NGN"
"Ecobank Mobile","307","Nigeria","ecobank-mobile","NGN"
"ECOBANK NIGERIA PLC","050","Nigeria","ecobank","NGN"
"ENTERPRISE BANK LIMITED","084","Nigeria","enterprise","NGN"
"GTBANK PLC","058","Nigeria","gtb","NGN"
"GTBank Mobile Money","315","Nigeria","gtb-mobile","NGN"
"FIRST CITY MONUMENT BANK PLC","214","Nigeria","fcmb","NGN"
"FIRST BANK PLC","011","Nigeria","firstbank","NGN"
"FIDELITY BANK PLC","070","Nigeria","fidelity","NGN"
"FBN MOBILE","309","Nigeria","first-mobile","NGN"

"Rubies Microfinance Bank","090175","Nigeria","rubiesbank","NGN"
"TCF MFB","090115","Nigeria","tcf","NGN"
"Kuda","090267","Nigeria","kuda","NGN"
"Suntrust Bank","100","Nigeria","suntrustbank","NGN"
"FINATRUST MICROFINANCE BANK","608","Nigeria","finatrustbank","NGN"
"ProvidusBank PLC","101","Nigeria","providusbank","NGN"

"Polaris bank","076","Nigeria","nedbank","NGN"
"Rand merchant Bank","502","Nigeria","randbank","NGN"
"Globus Bank","103","Nigeria","globusbank","NGN"

"PALMPAY","100033","Nigeria","palmpay","NGN"
"Paga","327","Nigeria","paga","NGN"

"PatrickGold Microfinance Bank","090317","Nigeria","patrickgold","NGN"